Matrix of values from data file Obj_mmNew_340A.POU
  ZMin:   1.0600E+03    RMin:   0.0000E+00
  ZMax:   1.0900E+03    RMax:   1.0000E+00
  NZ: 500    NR: 500
Z                 R             |B|          Bz        Br
=============================================================================
   1073.680  0.0000E+00     6.4504E-02  6.4504E-02 -1.4633E-06
   1073.740  0.0000E+00     6.4467E-02  6.4467E-02  9.1681E-09
   1073.800  0.0000E+00     6.4430E-02  6.4430E-02  1.4817E-06
   1073.860  0.0000E+00     6.4359E-02  6.4359E-02 -2.0769E-06
   1073.920  0.0000E+00     6.4239E-02  6.4239E-02 -4.9877E-07
   1073.980  0.0000E+00     6.4119E-02  6.4119E-02  1.0762E-06
   1074.040  0.0000E+00     6.3999E-02  6.3999E-02  2.6512E-06
   1074.100  0.0000E+00     6.3777E-02  6.3777E-02 -1.1059E-06
   1074.160  0.0000E+00     6.3567E-02  6.3567E-02  6.3047E-07
   1074.220  0.0000E+00     6.3357E-02  6.3357E-02  2.3669E-06
   1074.280  0.0000E+00     6.3057E-02  6.3057E-02 -1.9283E-06
   1074.340  0.0000E+00     6.2745E-02  6.2745E-02  9.9343E-08
   1074.400  0.0000E+00     6.2433E-02  6.2433E-02  2.1270E-06
   1074.460  0.0000E+00     6.2051E-02  6.2051E-02 -3.0839E-06
   1074.520  0.0000E+00     6.1618E-02  6.1618E-02 -6.7584E-07
   1074.580  0.0000E+00     6.1185E-02  6.1185E-02  1.7322E-06
   1074.640  0.0000E+00     6.0751E-02  6.0751E-02  4.1450E-06
   1074.700  0.0000E+00     6.0137E-02  6.0137E-02 -1.7832E-06
   1074.760  0.0000E+00     5.9559E-02  5.9559E-02  1.1151E-06
   1074.820  0.0000E+00     5.8981E-02  5.8981E-02  4.0192E-06
   1074.880  0.0000E+00     5.8248E-02  5.8248E-02 -3.2825E-06
   1074.940  0.0000E+00     5.7498E-02  5.7498E-02  1.5149E-07
   1075.000  0.0000E+00     5.6748E-02  5.6748E-02  3.5855E-06
   1075.060  0.0000E+00     5.5897E-02  5.5897E-02 -5.0366E-06
   1075.120  0.0000E+00     5.4947E-02  5.4947E-02 -1.1892E-06
   1075.180  0.0000E+00     5.3997E-02  5.3997E-02  2.6582E-06
   1075.240  0.0000E+00     5.3045E-02  5.3045E-02  6.5133E-06
   1075.300  0.0000E+00     5.1873E-02  5.1873E-02 -2.7778E-06
   1075.360  0.0000E+00     5.0706E-02  5.0706E-02  1.2175E-06
   1075.420  0.0000E+00     4.9537E-02  4.9537E-02  5.2208E-06
   1075.480  0.0000E+00     4.8270E-02  4.8270E-02 -3.8950E-06
   1075.540  0.0000E+00     4.6893E-02  4.6893E-02 -2.7791E-07
   1075.600  0.0000E+00     4.5514E-02  4.5514E-02  3.3464E-06
   1075.660  0.0000E+00     4.4159E-02  4.4159E-02 -4.0700E-06
   1075.720  0.0000E+00     4.2607E-02  4.2607E-02 -1.3510E-06
   1075.780  0.0000E+00     4.1052E-02  4.1052E-02  1.3735E-06
