Matrix of values from data file Cathode_N_PML_450A_mmNew.POU
  ZMin:   6.0000E+01    RMin:   0.0000E+00
  ZMax:   9.0000E+01    RMax:   1.0000E+00
  NZ: 500    NR: 500
Z                 R             |B|          Bz         Br
=============================================================================
  6.9360E+01  0.0000E+00     8.9309E-04  8.9309E-04 -5.9224E-10
  6.9420E+01  0.0000E+00     9.2218E-04  9.2218E-04  4.5676E-08
  6.9480E+01  0.0000E+00     9.5271E-04  9.5271E-04 -2.3900E-08
  6.9540E+01  0.0000E+00     9.8432E-04  9.8432E-04  2.4276E-08
  6.9600E+01  0.0000E+00     1.0168E-03  1.0168E-03 -4.9868E-08
  6.9660E+01  0.0000E+00     1.0512E-03  1.0512E-03 -9.9806E-10
  6.9720E+01  0.0000E+00     1.0862E-03  1.0862E-03  5.5497E-08
  6.9780E+01  0.0000E+00     1.1231E-03  1.1231E-03 -2.8918E-08
  6.9840E+01  0.0000E+00     1.1612E-03  1.1612E-03  2.9388E-08
  6.9900E+01  0.0000E+00     1.2004E-03  1.2004E-03 -6.1320E-08
  6.9960E+01  0.0000E+00     1.2419E-03  1.2419E-03 -8.8779E-10
  7.0020E+01  0.0000E+00     1.2843E-03  1.2843E-03  6.7731E-08
  7.0080E+01  0.0000E+00     1.3288E-03  1.3288E-03 -3.6039E-08
  7.0140E+01  0.0000E+00     1.3749E-03  1.3749E-03  3.5796E-08
  7.0200E+01  0.0000E+00     1.4224E-03  1.4224E-03 -7.4914E-08
  7.0260E+01  0.0000E+00     1.4726E-03  1.4726E-03 -1.3075E-09
  7.0320E+01  0.0000E+00     1.5239E-03  1.5239E-03  8.3336E-08
  7.0380E+01  0.0000E+00     1.5778E-03  1.5778E-03 -4.3966E-08
  7.0440E+01  0.0000E+00     1.6338E-03  1.6338E-03  4.3815E-08
  7.0500E+01  0.0000E+00     1.6913E-03  1.6913E-03 -9.2695E-08
  7.0560E+01  0.0000E+00     1.7523E-03  1.7523E-03 -1.8470E-09
  7.0620E+01  0.0000E+00     1.8146E-03  1.8146E-03  1.0256E-07
  7.0680E+01  0.0000E+00     1.8801E-03  1.8801E-03 -5.4316E-08
  7.0740E+01  0.0000E+00     1.9481E-03  1.9481E-03  5.3876E-08
