Matrix of values from data file Adj_mmNew_275A.POU
  ZMin:   3.5000E+02    RMin:   0.0000E+00
  ZMax:   3.9000E+02    RMax:   1.0000E+00
  NZ: 500    NR: 500
Z                 R             |B|         Bz         Br
=============================================================================
  3.7328E+02  0.0000E+00     1.1920E-02  1.1920E-02  6.6601E-09
  3.7336E+02  0.0000E+00     1.1635E-02  1.1635E-02  1.0415E-07
  3.7344E+02  0.0000E+00     1.1355E-02  1.1355E-02 -1.5509E-07
  3.7352E+02  0.0000E+00     1.1082E-02  1.1082E-02 -5.6170E-08
  3.7360E+02  0.0000E+00     1.0814E-02  1.0814E-02  4.0079E-08
  3.7368E+02  0.0000E+00     1.0551E-02  1.0551E-02  1.2977E-07
  3.7376E+02  0.0000E+00     1.0294E-02  1.0294E-02 -1.2026E-07
  3.7384E+02  0.0000E+00     1.0044E-02  1.0044E-02 -2.2364E-08
  3.7392E+02  0.0000E+00     9.7976E-03  9.7976E-03  6.5868E-08
  3.7400E+02  0.0000E+00     9.5564E-03  9.5564E-03  1.6534E-07
  3.7408E+02  0.0000E+00     9.3223E-03  9.3223E-03 -8.1405E-08
  3.7416E+02  0.0000E+00     9.0928E-03  9.0928E-03  5.4814E-09
  3.7424E+02  0.0000E+00     8.8681E-03  8.8681E-03  9.8312E-08
  3.7432E+02  0.0000E+00     8.6483E-03  8.6483E-03 -1.4130E-07
  3.7440E+02  0.0000E+00     8.4347E-03  8.4347E-03 -5.1350E-08
  3.7448E+02  0.0000E+00     8.2256E-03  8.2256E-03  3.5546E-08
  3.7456E+02  0.0000E+00     8.0204E-03  8.0204E-03  1.1433E-07
  3.7464E+02  0.0000E+00     7.8210E-03  7.8210E-03 -9.9857E-08
  3.7472E+02  0.0000E+00     7.6266E-03  7.6266E-03 -1.8794E-08
  3.7480E+02  0.0000E+00     7.4360E-03  7.4360E-03  5.8775E-08
  3.7488E+02  0.0000E+00     7.2495E-03  7.2495E-03  1.3119E-07
  3.7496E+02  0.0000E+00     7.0690E-03  7.0690E-03 -6.9889E-08
  3.7504E+02  0.0000E+00     6.8922E-03  6.8922E-03  8.4632E-09
  3.7512E+02  0.0000E+00     6.7191E-03  6.7191E-03  7.6924E-08
  3.7520E+02  0.0000E+00     6.5503E-03  6.5503E-03 -1.1228E-07
  3.7528E+02  0.0000E+00     6.3866E-03  6.3866E-03 -3.8893E-08
  3.7536E+02  0.0000E+00     6.2262E-03  6.2262E-03  2.8730E-08
  3.7544E+02  0.0000E+00     6.0693E-03  6.0693E-03  9.6544E-08
  3.7552E+02  0.0000E+00     5.9171E-03  5.9171E-03 -8.0841E-08
  3.7560E+02  0.0000E+00     5.7687E-03  5.7687E-03 -1.6592E-08
  3.7568E+02  0.0000E+00     5.6234E-03  5.6234E-03  4.6974E-08
  3.7576E+02  0.0000E+00     5.4814E-03  5.4814E-03  1.0554E-07
  3.7584E+02  0.0000E+00     5.3441E-03  5.3441E-03 -5.3423E-08
  3.7592E+02  0.0000E+00     5.2097E-03  5.2097E-03  5.9614E-09
