      Z             R              Ez            Er            |E|           H 
    (cm)          (cm)           (MV/m)        (MV/m)        (MV/m)        (A/m) 
   2.38500       0.00000      6.420498E-06  0.000000E+00  6.420498E-06  0.000000E+00
   2.40000       0.00000      5.687576E-06  0.000000E+00  5.687576E-06  0.000000E+00
   2.41500       0.00000      5.059124E-06  0.000000E+00  5.059124E-06  0.000000E+00
   2.43000       0.00000      4.481607E-06  0.000000E+00  4.481607E-06  0.000000E+00
   2.44500       0.00000      3.970177E-06  0.000000E+00  3.970177E-06  0.000000E+00
   2.46000       0.00000      3.517050E-06  0.000000E+00  3.517050E-06  0.000000E+00
   2.47500       0.00000      3.128520E-06  0.000000E+00  3.128520E-06  0.000000E+00
   2.49000       0.00000      2.771492E-06  0.000000E+00  2.771492E-06  0.000000E+00
   2.50500       0.00000      2.455334E-06  0.000000E+00  2.455334E-06  0.000000E+00
   2.52000       0.00000      2.175233E-06  0.000000E+00  2.175233E-06  0.000000E+00
   2.53500       0.00000      1.935078E-06  0.000000E+00  1.935078E-06  0.000000E+00
   2.55000       0.00000      1.714414E-06  0.000000E+00  1.714414E-06  0.000000E+00
   2.56500       0.00000      1.519033E-06  0.000000E+00  1.519033E-06  0.000000E+00
   2.58000       0.00000      1.345958E-06  0.000000E+00  1.345958E-06  0.000000E+00
   2.59500       0.00000      1.197592E-06  0.000000E+00  1.197592E-06  0.000000E+00
   2.61000       0.00000      1.061298E-06  0.000000E+00  1.061298E-06  0.000000E+00
   2.62500       0.00000      9.406559E-07  0.000000E+00  9.406559E-07  0.000000E+00
   2.64000       0.00000      8.338273E-07  0.000000E+00  8.338273E-07  0.000000E+00
   2.65500       0.00000      7.422907E-07  0.000000E+00  7.422907E-07  0.000000E+00
   2.67000       0.00000      6.582531E-07  0.000000E+00  6.582531E-07  0.000000E+00
   2.68500       0.00000      5.839227E-07  0.000000E+00  5.839227E-07  0.000000E+00
   2.70000       0.00000      5.181678E-07  0.000000E+00  5.181678E-07  0.000000E+00
   2.71500       0.00000      4.618928E-07  0.000000E+00  4.618928E-07  0.000000E+00
   2.73000       0.00000      4.103093E-07  0.000000E+00  4.103093E-07  0.000000E+00
   2.74500       0.00000      3.647765E-07  0.000000E+00  3.647765E-07  0.000000E+00
   2.76000       0.00000      3.246013E-07  0.000000E+00  3.246013E-07  0.000000E+00
   2.77500       0.00000      2.903281E-07  0.000000E+00  2.903281E-07  0.000000E+00
   2.79000       0.00000      2.590441E-07  0.000000E+00  2.590441E-07  0.000000E+00
   2.80500       0.00000      2.315800E-07  0.000000E+00  2.315800E-07  0.000000E+00
   2.82000       0.00000      2.075180E-07  0.000000E+00  2.075180E-07  0.000000E+00
   2.83500       0.00000      1.871709E-07  0.000000E+00  1.871709E-07  0.000000E+00
   2.85000       0.00000      1.688147E-07  0.000000E+00  1.688147E-07  0.000000E+00
   2.86500       0.00000      1.529478E-07  0.000000E+00  1.529478E-07  0.000000E+00
   2.88000       0.00000      1.393286E-07  0.000000E+00  1.393286E-07  0.000000E+00
   2.89500       0.00000      1.281128E-07  0.000000E+00  1.281128E-07  0.000000E+00
   2.91000       0.00000      1.183578E-07  0.000000E+00  1.183578E-07  0.000000E+00
